Date,Confirmed Cases,Deaths,Cases Increase,Deaths Increase
2020-01-22,555,17,0.0,0.0
2020-01-23,654,18,0.17837837837837833,0.05882352941176472
2020-01-24,941,26,0.4388379204892967,0.4444444444444444
2020-01-25,1434,42,0.5239107332624866,0.6153846153846154
2020-01-26,2118,56,0.4769874476987448,0.33333333333333326
2020-01-27,2927,82,0.38196411709159594,0.4642857142857142
2020-01-28,5578,131,0.9057055005124701,0.5975609756097562
2020-01-29,6167,133,0.10559340265328077,0.01526717557251911
2020-01-30,8235,171,0.33533322523106857,0.2857142857142858
2020-01-31,9927,213,0.2054644808743169,0.2456140350877194
2020-02-01,12038,259,0.2126523622443841,0.215962441314554
2020-02-02,16787,362,0.3945007476324971,0.3976833976833978
2020-02-03,19887,426,0.18466670637993676,0.17679558011049723
2020-02-04,23898,492,0.20168954593453003,0.15492957746478875
2020-02-05,27643,564,0.15670767428236676,0.14634146341463405
2020-02-06,30803,634,0.11431465470462676,0.12411347517730498
2020-02-07,34396,719,0.1166444826802584,0.13406940063091488
2020-02-08,37130,806,0.07948598674264451,0.12100139082058425
2020-02-09,40160,906,0.08160517102073794,0.12406947890818865
2020-02-10,42769,1013,0.06496513944223103,0.11810154525386318
2020-02-11,44811,1113,0.04774486193270833,0.09871668311944726
2020-02-12,45229,1118,0.009328066769320076,0.004492362982928988
2020-02-13,60382,1371,0.33502841097525926,0.22629695885509848
2020-02-14,66909,1523,0.10809512768705898,0.11086797957695116
2020-02-15,69051,1666,0.0320136304533023,0.0938936309914642
2020-02-16,71235,1770,0.03162879610722502,0.062424969987995294
2020-02-17,73270,1868,0.028567417701972353,0.05536723163841817
2020-02-18,75152,2008,0.025685819571448,0.07494646680942174
2020-02-19,75652,2123,0.006653182882691011,0.057270916334661415
2020-02-20,76212,2248,0.007402315867392817,0.05887894488930767
2020-02-21,76841,2252,0.008253293444601795,0.001779359430605032
2020-02-22,78602,2459,0.02291745292226799,0.09191829484902314
