Date,Country,Confirmed Cases,Deaths,Cases Increase,Deaths Increase
2020-01-22,US,1,0,0.0,0.0
2020-01-23,US,1,0,0.0,0.0
2020-01-24,US,2,0,1.0,0.0
2020-01-25,US,2,0,0.0,0.0
2020-01-26,US,5,0,1.5,0.0
2020-01-27,US,5,0,0.0,0.0
2020-01-28,US,5,0,0.0,0.0
2020-01-29,US,6,0,0.19999999999999996,0.0
2020-01-30,US,6,0,0.0,0.0
2020-01-31,US,8,0,0.33333333333333326,0.0
2020-02-01,US,8,0,0.0,0.0
2020-02-02,US,8,0,0.0,0.0
2020-02-03,US,11,0,0.375,0.0
2020-02-04,US,11,0,0.0,0.0
2020-02-05,US,11,0,0.0,0.0
2020-02-06,US,12,0,0.09090909090909083,0.0
2020-02-07,US,12,0,0.0,0.0
2020-02-08,US,12,0,0.0,0.0
2020-02-09,US,12,0,0.0,0.0
2020-02-10,US,12,0,0.0,0.0
2020-02-11,US,13,0,0.08333333333333326,0.0
2020-02-12,US,13,0,0.0,0.0
2020-02-13,US,14,0,0.07692307692307687,0.0
2020-02-14,US,14,0,0.0,0.0
2020-02-15,US,14,0,0.0,0.0
2020-02-16,US,14,0,0.0,0.0
2020-02-17,US,14,0,0.0,0.0
2020-02-18,US,14,0,0.0,0.0
2020-02-19,US,14,0,0.0,0.0
2020-02-20,US,14,0,0.0,0.0
2020-02-21,US,16,0,0.1428571428571428,0.0
2020-02-22,US,16,0,0.0,0.0
2020-02-23,US,16,0,0.0,0.0
2020-02-24,US,16,0,0.0,0.0
2020-02-25,US,16,0,0.0,0.0
2020-02-26,US,16,0,0.0,0.0
2020-02-27,US,17,0,0.0625,0.0
2020-02-28,US,17,0,0.0,0.0
2020-02-29,US,25,1,0.47058823529411775,0.0
2020-03-01,US,32,1,0.28,0.0
2020-03-02,US,55,6,0.71875,5.0
2020-03-03,US,74,7,0.34545454545454546,0.16666666666666674
2020-03-04,US,107,11,0.44594594594594605,0.5714285714285714
2020-03-05,US,184,12,0.719626168224299,0.09090909090909083
2020-03-06,US,237,14,0.2880434782608696,0.16666666666666674
2020-03-07,US,403,17,0.7004219409282701,0.2142857142857142
2020-03-08,US,519,21,0.28784119106699757,0.23529411764705888
2020-03-09,US,594,22,0.1445086705202312,0.04761904761904767
2020-03-10,US,782,28,0.3164983164983164,0.2727272727272727
2020-03-11,US,1147,33,0.46675191815856776,0.1785714285714286
2020-03-12,US,1586,43,0.3827375762859633,0.303030303030303
2020-03-13,US,2219,51,0.39911727616645654,0.18604651162790709
2020-03-14,US,2978,58,0.3420459666516449,0.13725490196078427
2020-03-15,US,3212,70,0.07857622565480193,0.2068965517241379
2020-03-16,US,4679,97,0.45672478206724776,0.3857142857142857
2020-03-17,US,6512,132,0.3917503740115409,0.3608247422680413
2020-03-18,US,9169,191,0.4080159705159705,0.446969696969697
2020-03-19,US,13663,264,0.49012978514559924,0.38219895287958106
2020-03-20,US,20030,365,0.46600307399546215,0.38257575757575757
2020-03-21,US,26025,464,0.29930104842735905,0.2712328767123289
2020-03-22,US,34855,574,0.3392891450528339,0.23706896551724133
2020-03-23,US,46086,762,0.3222206283173146,0.32752613240418116
2020-03-24,US,56698,1003,0.23026515644664314,0.3162729658792651
2020-03-25,US,68773,1329,0.21297047514903533,0.3250249252243269
2020-03-26,US,86613,1741,0.2594041266194582,0.3100075244544771
2020-03-27,US,105293,2259,0.21567201228453015,0.2975301550832854
2020-03-28,US,124900,2891,0.1862137084136648,0.27976980965028764
2020-03-29,US,143779,3484,0.15115292233787025,0.20511933586994124
2020-03-30,US,165861,4180,0.15358292935686024,0.19977037887485638
2020-03-31,US,192177,5272,0.1586629768299963,0.26124401913875595
2020-04-01,US,218060,6452,0.13468313065559356,0.22382397572078916
2020-04-02,US,248447,7954,0.1393515546179951,0.23279603223806578
2020-04-03,US,280417,9348,0.12867935616046888,0.17525773195876293
2020-04-04,US,313432,10892,0.1177353726771202,0.16516902011125367
2020-04-05,US,341629,12458,0.08996209704178249,0.1437752478883585
2020-04-06,US,371802,14234,0.08832095635909121,0.14255899823406648
2020-04-07,US,403212,16798,0.08448044927138643,0.18013207812280463
2020-04-08,US,435407,18953,0.07984633393847407,0.12828908203357536
2020-04-09,US,469989,21184,0.07942453842037445,0.11771223552999532
2020-04-10,US,503474,23395,0.0712463483187904,0.10437122356495476
2020-04-11,US,532782,25530,0.058211546177161066,0.0912588159863219
2020-04-12,US,559709,27335,0.05054037110863363,0.07070113591852722
2020-04-13,US,585518,29281,0.046111461491596506,0.07119078104993593
2020-04-14,US,614082,31726,0.04878415351876453,0.08350124654212632
2020-04-15,US,644247,34335,0.04912210421409524,0.08223539053142526
2020-04-16,US,675648,36506,0.04874062277356361,0.06322994029416051
2020-04-17,US,708317,38597,0.04835210050203664,0.05727825562921174
2020-04-18,US,736244,40567,0.03942726208745517,0.051040236287794416
2020-04-19,US,761933,42499,0.03489196516372295,0.04762491680429903
2020-04-20,US,790353,44679,0.037299867573658,0.05129532459587294
2020-04-21,US,816413,47221,0.03297260844205052,0.056894738020099034
2020-04-22,US,845727,49659,0.03590584667319119,0.05162957158891168
2020-04-23,US,878911,52125,0.03923724795353589,0.0496586721440222
2020-04-24,US,912662,54285,0.038400930242083575,0.04143884892086325
2020-04-25,US,944234,55988,0.03459331055746806,0.031371465414018695
2020-04-26,US,971078,57322,0.028429393561341776,0.023826534257340937
2020-04-27,US,994265,58787,0.023877587588226667,0.02555737762115773
2020-04-28,US,1018926,61028,0.02480324661936195,0.03812067293789445
2020-04-29,US,1046737,63555,0.027294425699216696,0.041407222914072284
2020-04-30,US,1076224,65971,0.028170400014521313,0.0380143183069781
2020-05-01,US,1110464,67848,0.03181493815413883,0.028451895529854054
2020-05-02,US,1138228,69535,0.025002161258717015,0.024864402782690753
2020-05-03,US,1162685,70638,0.021486907719718618,0.015862515280074874
2020-05-04,US,1186067,71956,0.02011034803063594,0.01865851241541372
2020-05-05,US,1210577,74255,0.020664937140987716,0.03195008060481408
2020-05-06,US,1235666,76599,0.020724827912639965,0.03156689785199651
2020-05-07,US,1263402,78523,0.022446195007388647,0.02511782138148022
2020-05-08,US,1290151,80275,0.021172200138989794,0.02231193408300758
2020-05-09,US,1315099,81817,0.019337271373660814,0.01920896916848336
2020-05-10,US,1333970,82717,0.014349490038392476,0.011000158891183887
2020-05-11,US,1353397,83719,0.014563296026147476,0.012113592127374062
2020-05-12,US,1376122,85333,0.016791081995896295,0.019278777816266413
2020-05-13,US,1397085,87082,0.015233387737424442,0.02049617381317903
2020-05-14,US,1424243,88856,0.019439046299974505,0.020371603775751534
2020-05-15,US,1449498,90520,0.01773222687420617,0.018726928963716638
2020-05-16,US,1473514,91792,0.016568494747836837,0.014052143172779585
2020-05-17,US,1491829,92547,0.012429471318222918,0.008225117657312264
2020-05-18,US,1513816,93714,0.014738284347602937,0.012609809069985989
2020-05-19,US,1534871,95240,0.013908559560739109,0.01628358623044579
2020-05-20,US,1557933,96758,0.015025366952662544,0.01593868122637554
2020-05-21,US,1583798,97969,0.016602126022107422,0.012515760970669199
2020-05-22,US,1607136,99214,0.014735465002481352,0.012708101542324712
2020-05-23,US,1628215,100348,0.01311587818330251,0.011429838530852443
2020-05-24,US,1648160,100964,0.012249610770076469,0.006138637541356129
2020-05-25,US,1666553,101521,0.011159717503155031,0.00551681787567837
2020-05-26,US,1685956,102185,0.011642594024912523,0.006540518710414611
2020-05-27,US,1704489,103693,0.01099257631871775,0.014757547585261932
2020-05-28,US,1727357,104876,0.01341633768243744,0.011408677538503165
2020-05-29,US,1751591,106031,0.014029526033124684,0.011013005835462941
2020-05-30,US,1775446,106985,0.013619046912207278,0.008997368694061203
2020-05-31,US,1794465,107674,0.010712237939086933,0.006440155161938632
2020-06-01,US,1811393,108451,0.009433452310298573,0.007216226758548938
2020-06-02,US,1832782,109500,0.011808039448093277,0.009672571022858234
2020-06-03,US,1852818,110494,0.010932014827731873,0.009077625570776293
2020-06-04,US,1874167,111499,0.011522448508164418,0.009095516498633494
2020-06-05,US,1899577,112405,0.013558023377852724,0.008125633413752498
2020-06-06,US,1920952,113102,0.011252505162991477,0.006200791779725101
2020-06-07,US,1938614,113543,0.009194399443609225,0.003899135293805589
2020-06-08,US,1956152,114040,0.00904666942465071,0.004377196304483855
2020-06-09,US,1974502,114970,0.009380661625477016,0.00815503332164158
2020-06-10,US,1995451,115869,0.01060976387970225,0.007819431155953627
2020-06-11,US,2018491,116723,0.011546261972857241,0.007370392425929184
2020-06-12,US,2043407,117543,0.01234387470640197,0.0070251792705808835
2020-06-13,US,2068629,118316,0.01234311128424248,0.006576316752167299
2020-06-14,US,2087647,118629,0.009193528660770056,0.002645457926231387
2020-06-15,US,2107160,119012,0.0093468867102533,0.0032285528833591037
2020-06-16,US,2130852,119833,0.011243569543841092,0.0068984640204348135
2020-06-17,US,2157351,120564,0.012435870722133702,0.0061001560505036245
2020-06-18,US,2185217,121272,0.012916766905338939,0.005872399721309929
2020-06-19,US,2216199,121933,0.01417799696780686,0.005450557424632185
2020-06-20,US,2248109,122540,0.014398526486114394,0.004978143734673868
2020-06-21,US,2274073,122833,0.011549262068698551,0.0023910559817201804
2020-06-22,US,2304748,123217,0.013489012885690155,0.003126195729160841
2020-06-23,US,2340965,124059,0.01571408240727412,0.006833472653935635
2020-06-24,US,2375397,124814,0.014708464244446162,0.00608581400785102
2020-06-25,US,2415764,125360,0.016993790932631425,0.004374509269793547
2020-06-26,US,2461108,125981,0.018770045418343928,0.004953733248244996
2020-06-27,US,2502461,126483,0.016802594603731347,0.003984727855787851
2020-06-28,US,2542870,126761,0.01614770419998557,0.002197923831661175
2020-06-29,US,2582913,127139,0.015747167570500986,0.002981989728702006
2020-06-30,US,2628921,127787,0.0178124466445444,0.005096783835015328
2020-07-01,US,2680401,128479,0.019582178391819305,0.005415261333312493
2020-07-02,US,2736008,129199,0.02074577647150555,0.005604028673946715
2020-07-03,US,2787854,129858,0.018949505995596416,0.005100658673828695
2020-07-04,US,2833398,130127,0.016336580036113713,0.0020714934774908045
2020-07-05,US,2882973,130416,0.01749665948800705,0.0022209072675156705
2020-07-06,US,2927135,130777,0.015318214912175776,0.0027680652680652784
2020-07-07,US,2987790,131984,0.02072162712003367,0.009229451661989518
2020-07-08,US,3047640,132847,0.020031528320263448,0.006538671354103576
2020-07-09,US,3110213,133845,0.020531624470081722,0.007512401484414344
2020-07-10,US,3178067,134666,0.0218165122453029,0.006133960924950443
2020-07-11,US,3238099,135359,0.018889469605266385,0.005146065079530082
2020-07-12,US,3297169,135820,0.01824218468922667,0.003405758021262084
2020-07-13,US,3355967,136188,0.017832874202080573,0.002709468414077376
2020-07-14,US,3423365,137108,0.020083034189549487,0.00675536758010975
2020-07-15,US,3490997,138080,0.019756000309636867,0.00708930186422374
2020-07-16,US,3568129,139030,0.022094547775320272,0.006880069524913157
2020-07-17,US,3639807,139963,0.020088399270317803,0.0067107818456448864
2020-07-18,US,3702274,140825,0.01716217370866091,0.006158770532212143
2020-07-19,US,3762984,141278,0.01639802996752815,0.003216758388070229
2020-07-20,US,3824471,141802,0.016339957863227728,0.003708999278019265
2020-07-21,US,3888691,142903,0.016791864809538426,0.007764347470416544
2020-07-22,US,3960584,144123,0.018487712189011685,0.008537259539687758
2020-07-23,US,4029096,145215,0.017298459015135048,0.007576861430861115
2020-07-24,US,4102284,146345,0.01816486874475065,0.007781565265296386
2020-07-25,US,4167634,147233,0.015930150131000298,0.00606785336021054
2020-07-26,US,4222603,147716,0.01318949792616153,0.003280514558556824
2020-07-27,US,4278571,148833,0.013254383611246423,0.007561807793333042
2020-07-28,US,4344356,150204,0.015375460638610505,0.009211666767450666
2020-07-29,US,4416186,151635,0.01653409619285351,0.009527043221219111
2020-07-30,US,4483778,152851,0.015305514758662708,0.008019256767896499
2020-07-31,US,4551687,154093,0.015145486685558485,0.008125560186063474
2020-08-01,US,4609512,155202,0.012704080926478456,0.0071969524897301795
2020-08-02,US,4655782,155613,0.01003793894017413,0.0026481617504929833
2020-08-03,US,4700348,156152,0.009572183577323923,0.00346372089735425
2020-08-04,US,4757653,157526,0.01219165049055948,0.008799118807315987
2020-08-05,US,4812056,158902,0.011434839825434917,0.008735065957365729
2020-08-06,US,4871531,160150,0.012359581850252876,0.00785389737070652
2020-08-07,US,4929841,161387,0.011969543045091902,0.007724008741804456
2020-08-08,US,4984276,162470,0.011041938269408691,0.006710577679738705
2020-08-09,US,5030646,162986,0.009303256882243316,0.0031759709484828758
2020-08-10,US,5079376,163512,0.009686628715278367,0.0032272710539555938
2020-08-11,US,5126287,164581,0.00923558326849605,0.00653774646509131
2020-08-12,US,5183078,166087,0.011078388705119346,0.009150509475577273
2020-08-13,US,5234905,167151,0.009999270703624275,0.0064062810454761365
2020-08-14,US,5299674,168494,0.012372526340019618,0.00803465130331249
2020-08-15,US,5346442,169524,0.008824693745313361,0.006112977316699686
2020-08-16,US,5387615,170099,0.0077010093815663705,0.0033918501215166597
2020-08-17,US,5424130,170544,0.006777581545823086,0.0026161235515786974
2020-08-18,US,5469161,171876,0.008301976538172884,0.007810301153954313
2020-08-19,US,5516529,173207,0.008660926237132216,0.007743954944262166
