Date,i
2019-12-17,0.00015947947277616947
2019-12-18,8.129497014230935e-05
2019-12-19,0.002186148205357341
2019-12-20,0.0062726109954898135
2019-12-23,0.0006601534542252097
2019-12-24,-0.00041836187050314777
2019-12-26,0.004221803333898322
2019-12-27,0.0024198043264966884
2019-12-30,-0.0021606332866266342
2019-12-31,-0.002842721832207573
2020-01-02,0.008141953257098322
2020-01-03,-0.003686798772367439
2020-01-06,0.00021259405929008324
2020-01-07,-0.0005946550123248073
2020-01-08,0.006805991989356386
2020-01-09,0.002601396796166
2020-01-10,0.002259613051309728
2020-01-13,0.0015643889399896693
2020-01-14,0.0018595459575490025
2020-01-15,0.0013377743138747178
2020-01-16,0.0055776555383602044
2020-01-17,0.003842277818833395
2020-01-21,-2.698144234258848e-05
2020-01-22,0.002393674510271282
2020-01-23,-0.003268032551019928
2020-01-24,0.0018918901279452172
2020-01-27,-0.02255238038495655
2020-01-28,0.008229673215909727
2020-01-29,0.0023376357208153564
2020-01-30,-0.0022981077413533058
2020-01-31,-0.001090043708559918
2020-02-03,-0.004240770930493909
2020-02-04,0.01170443004206767
2020-02-05,0.009228797911646325
2020-02-06,0.0031051765727809766
2020-02-07,-0.001955350499100561
2020-02-10,0.0032389051994812235
2020-02-11,0.006947190697978556
2020-02-12,0.001728578671739811
2020-02-13,0.0010700023354672794
2020-02-14,-0.0013007065218442193
2020-02-18,-0.001681523164149823
2020-02-19,0.005469446343344231
2020-02-20,-0.0012886128449594025
2020-02-21,-0.00841198189508674
2020-02-24,-0.030498212333730734
2020-02-25,-0.003940519103707629
2020-02-26,-0.02005821364560134
2020-02-27,-0.02721367137036168
2020-02-28,-0.045361865957977976
2020-03-02,0.04338705026423373
2020-03-03,0.01469594900002491
2020-03-04,-0.0018348072948342065
2020-03-05,-0.01542671547233887
2020-03-06,-0.03200490264995004
2020-03-09,-0.041730430185138445
2020-03-10,0.006508423030109789
2020-03-11,-0.01996846007185482
2020-03-12,-0.06003758244821
2020-03-13,0.0187561346824765
2020-03-16,-0.056268681847491564
2020-03-17,-0.003537313894597105
2020-03-18,-0.0400891878084364
2020-03-19,0.005446530406292283
2020-03-20,-0.0056748191888109645
2020-03-23,-0.06408939049763607
2020-03-24,0.06274317886563097
2020-03-25,0.048488610861952
2020-03-26,0.025187458135429885
2020-03-27,-0.008033707520428202
2020-03-30,0.006056045552114142
2020-03-31,0.003637211793547479
2020-04-01,-0.04595567671807821
2020-04-02,0.004141632853773558
2020-04-03,0.0019560526144530854
2020-04-06,0.05319350474674689
2020-04-07,0.029462427263011293
2020-04-08,0.001399188104617366
2020-04-09,0.020727306444817906
2020-04-13,-0.012894273926069566
2020-04-14,0.02463252627776491
2020-04-15,-0.01767736212094384
2020-04-16,0.0016511434096866395
2020-04-17,0.02557769192690973
2020-04-20,-0.0035628548601316368
2020-04-21,-0.02951479461921558
2020-04-22,0.010556055151607957
2020-04-23,0.010530063619346386
2020-04-24,-0.0007700744485346078
2020-04-27,0.0157094444760828
2020-04-28,0.01151008765655881
2020-04-29,0.011473967830474052
2020-04-30,-0.008138383737238186
2020-05-01,-0.021317988070123306
2020-05-04,-0.008699043823404473
2020-05-05,0.01880430595689564
2020-05-06,-0.002459650505348243
2020-05-07,0.003732011380906286
2020-05-08,0.010366762854863154
2020-05-11,0.0041147929195126665
2020-05-12,0.0005331238434651553
2020-05-13,-0.02463377789219834
2020-05-14,-0.007452476448189138
2020-05-15,0.004270858727991822
2020-05-18,0.035346833936777955
2020-05-19,-0.0013081359589035557
2020-05-20,0.00541008237719609
2020-05-21,-0.0006008062390554514
2020-05-22,-0.007325740548599136
2020-05-26,0.021732118452867155
2020-05-27,0.004797005343371907
2020-05-28,0.01062101618129141
2020-05-29,-0.006374820699884154
2020-06-01,0.004257661476074759
2020-06-02,0.0061499031477421084
2020-06-03,0.016056298800110724
2020-06-04,-0.0006485872394836889
2020-06-05,0.02612193706188748
2020-06-08,0.006644061958024139
2020-06-09,-0.0032280636371098126
2020-06-10,0.0001737698835100332
2020-06-11,-0.031432596371420374
2020-06-12,-0.011304173914441051
2020-06-15,-0.0028079329381647256
2020-06-16,0.023645401070691463
2020-06-17,-0.0039049456428887908
2020-06-18,-0.0067591286487935776
2020-06-19,0.011323476669502952
2020-06-22,-0.01102867337345792
2020-06-23,0.010828963698507721
2020-06-24,-0.012724403173784538
2020-06-25,-0.00927560396490712
2020-06-26,-0.004064960214451574
2020-06-29,-0.006475648827068525
2020-06-30,0.018691989408765153
2020-07-01,0.005426316978432766
2020-07-02,0.011874506509117921
2020-07-06,0.005286392787942518
2020-07-07,0.0004899884357545403
2020-07-08,-0.003886081278929865
2020-07-09,0.002512755745613049
2020-07-10,0.002211554620645373
2020-07-13,0.015104286430274172
2020-07-14,-0.01068023678059049
2020-07-15,0.011594708202711246
2020-07-16,-0.005539896817714052
2020-07-17,0.004068896296054447
2020-07-20,0.007729423876304153
2020-07-21,0.005716116245428893
2020-07-22,0.0006192313797779292
2020-07-23,0.00020426595826350535
2020-07-24,-0.016206887594352182
2020-07-27,0.004381086330628392
2020-07-28,0.0007062409326454855
2020-07-29,0.006459313798270472
2020-07-30,-0.004242114926423568
2020-07-31,0.006515340331109343
2020-08-03,0.009296043779100316
2020-08-04,0.001243683903535242
2020-08-05,0.007210437169550943
2020-08-06,0.006064255651576644
2020-08-07,0.0004505091393891547
2020-08-10,0.0032013940365587246
2020-08-11,0.005254811129399073
2020-08-12,0.0020327927080820984
2020-08-13,-0.00019184941306882308
2020-08-14,-0.002580640819916269
