Date,i
2019-12-16,3197.7099609375
2019-12-17,3198.219970703125
2019-12-18,3198.47998046875
2019-12-19,3205.47998046875
2019-12-20,3225.64990234375
2019-12-23,3227.780029296875
2019-12-24,3226.429931640625
2019-12-26,3240.080078125
2019-12-27,3247.929931640625
2019-12-30,3240.919921875
2019-12-31,3231.719970703125
2020-01-02,3258.139892578125
2020-01-03,3246.14990234375
2020-01-06,3246.840087890625
2020-01-07,3244.909912109375
2020-01-08,3267.070068359375
2020-01-09,3275.580078125
2020-01-10,3282.989990234375
2020-01-13,3288.1298828125
2020-01-14,3294.25
2020-01-15,3298.659912109375
2020-01-16,3317.110107421875
2020-01-17,3329.8798828125
2020-01-21,3329.7900390625
2020-01-22,3337.77001953125
2020-01-23,3326.8798828125
2020-01-24,3333.179931640625
2020-01-27,3258.85009765625
2020-01-28,3285.780029296875
2020-01-29,3293.469970703125
2020-01-30,3285.909912109375
2020-01-31,3282.330078125
2020-02-03,3268.43994140625
2020-02-04,3306.919921875
2020-02-05,3337.580078125
2020-02-06,3347.9599609375
2020-02-07,3341.419921875
2020-02-10,3352.260009765625
2020-02-11,3375.6298828125
2020-02-12,3381.469970703125
2020-02-13,3385.090087890625
2020-02-14,3380.68994140625
2020-02-18,3375.010009765625
2020-02-19,3393.52001953125
2020-02-20,3389.14990234375
2020-02-21,3360.760009765625
2020-02-24,3259.81005859375
2020-02-25,3246.989990234375
2020-02-26,3182.510009765625
2020-02-27,3097.070068359375
2020-02-28,2959.719970703125
2020-03-02,3090.9599609375
2020-03-03,3136.719970703125
2020-03-04,3130.969970703125
2020-03-05,3083.0400390625
2020-03-06,2985.929931640625
2020-03-09,2863.889892578125
2020-03-10,2882.590087890625
2020-03-11,2825.60009765625
2020-03-12,2660.949951171875
2020-03-13,2711.330078125
2020-03-16,2562.97998046875
2020-03-17,2553.929931640625
2020-03-18,2453.570068359375
2020-03-19,2466.969970703125
2020-03-20,2453.010009765625
2020-03-23,2300.72998046875
2020-03-24,2449.7099609375
2020-03-25,2571.419921875
2020-03-26,2637.010009765625
2020-03-27,2615.909912109375
2020-03-30,2631.800048828125
2020-03-31,2641.389892578125
2020-04-01,2522.75
2020-04-02,2533.219970703125
2020-04-03,2538.179931640625
2020-04-06,2676.85009765625
2020-04-07,2756.889892578125
2020-04-08,2760.75
2020-04-09,2818.570068359375
2020-04-13,2782.4599609375
2020-04-14,2851.85009765625
2020-04-15,2801.8798828125
2020-04-16,2806.510009765625
2020-04-17,2879.219970703125
2020-04-20,2868.97998046875
2020-04-21,2785.5400390625
2020-04-22,2815.10009765625
2020-04-23,2844.89990234375
2020-04-24,2842.7099609375
2020-04-27,2887.719970703125
2020-04-28,2921.14990234375
2020-04-29,2954.860107421875
2020-04-30,2930.909912109375
2020-05-01,2869.090087890625
2020-05-04,2844.239990234375
2020-05-05,2898.22998046875
2020-05-06,2891.110107421875
2020-05-07,2901.919921875
2020-05-08,2932.159912109375
2020-05-11,2944.25
2020-05-12,2945.820068359375
2020-05-13,2874.139892578125
2020-05-14,2852.800048828125
2020-05-15,2865.010009765625
2020-05-18,2968.090087890625
2020-05-19,2964.2099609375
2020-05-20,2980.2900390625
2020-05-21,2978.5
2020-05-22,2956.760009765625
2020-05-26,3021.719970703125
2020-05-27,3036.25
2020-05-28,3068.669921875
