Date,XLB Materials,XLC Communication Services,XLE Energy,XLF Financials,XLI Industrials,XLK Technology,XLP Consumer Staples,XLRE Real Estate,XLU Utilities,XLV Health Care,XLY Consumer Discretionary
2019-12-16,59.35934829711914,52.5981559753418,55.83899688720703,30.048067092895508,79.97266387939453,89.08551788330078,61.28693771362305,36.68855285644531,61.97686004638672,99.58592987060547,122.16260528564453
2019-12-17,59.44736099243164,52.548606872558594,55.87553787231445,30.165061950683594,79.89432525634766,88.8783187866211,61.189659118652344,36.29145050048828,62.17971420288086,99.47850799560547,122.70572662353516
2019-12-18,59.36912536621094,52.90534210205078,56.08566665649414,30.038318634033203,79.56139373779297,88.86844635009766,61.092376708984375,36.804779052734375,62.43085861206055,99.61522674560547,122.82421875
2019-12-19,59.57448959350586,53.390892028808594,56.0673942565918,30.028568267822266,79.77682495117188,89.50977325439453,61.42313003540039,37.15346145629883,62.4501838684082,100.0058822631836,123.20934295654297
2019-12-20,59.86357879638672,53.556739807128906,56.605220794677734,30.063846588134766,80.14389038085938,90.02946472167969,61.88703918457031,37.44033432006836,62.87950134277344,100.71391296386719,123.39759063720703
2019-12-23,60.03074264526367,53.41770935058594,57.186397552490234,29.99525260925293,80.80322265625,90.28683471679688,61.622230529785156,37.21513748168945,62.29539489746094,101.11598205566406,123.11027526855469
2019-12-24,60.09957504272461,53.40777587890625,57.15872573852539,30.063846588134766,80.47846984863281,90.3165283203125,61.70069122314453,37.264095306396484,62.38301086425781,100.98849487304688,123.38768005371094
2019-12-26,60.36506652832031,53.814937591552734,57.14027404785156,30.23043441772461,80.66545104980469,90.98965454101562,61.75954055786133,37.489288330078125,62.4901008605957,100.91985321044922,124.89361572265625
2019-12-27,60.13890838623047,53.71562957763672,56.900421142578125,30.152040481567383,80.5965576171875,90.97975158691406,62.034156799316406,37.62635803222656,62.67506408691406,100.94927215576172,124.88372039794922
2019-12-30,59.952083587646484,53.159507751464844,56.72085189819336,30.063846588134766,80.22261047363281,90.45510864257812,61.71049880981445,37.596988677978516,62.66533660888672,100.34322357177734,124.0811996459961
2019-12-31,60.394561767578125,53.25881576538086,57.04388427734375,30.16183853149414,80.17340850830078,90.74217987060547,61.76934814453125,37.86133575439453,62.908714294433594,100.54063415527344,124.25953674316406
2020-01-02,59.686588287353516,53.88445281982422,57.55693817138672,30.455812454223633,81.68889617919922,92.44477081298828,61.278961181640625,37.420753479003906,62.12016296386719,100.80712890625,125.73575592041016
2020-01-03,58.72294998168945,53.5368766784668,57.385921478271484,30.1324405670166,81.53144073486328,91.4053955078125,61.18088150024414,37.69489288330078,62.2467155456543,99.92865753173828,124.66574096679688
2020-01-06,58.46728515625,54.25189208984375,57.83246612548828,30.112844467163086,81.56096649169922,91.6231689453125,61.308380126953125,37.704681396484375,62.30513000488281,100.5505142211914,125.01250457763672
2020-01-07,58.398460388183594,54.321407318115234,57.680450439453125,29.916860580444336,81.39366912841797,91.58357238769531,60.837608337402344,37.2934684753418,62.21751022338867,100.35309600830078,124.81436157226562
2020-01-08,58.60495376586914,54.708709716796875,56.73035430908203,30.112844467163086,81.66921997070312,92.56356048583984,61.06318664550781,37.479496002197266,62.18830871582031,101.00454711914062,125.19083404541016
2020-01-09,58.82128143310547,54.9967041015625,57.14839553833008,30.299026489257812,82.01363372802734,93.61282348632812,61.49473190307617,37.469703674316406,62.5290412902832,101.4388427734375,125.8546371459961
2020-01-10,58.58528518676758,54.77822494506836,56.82536315917969,30.073646545410156,81.43303680419922,93.39505004882812,61.45549774169922,37.831966400146484,62.69453811645508,101.46846008300781,125.1710205078125
2020-01-13,59.342430114746094,55.29462432861328,56.844364166259766,30.279428482055664,82.10221099853516,94.5631103515625,61.85762023925781,38.292137145996094,63.0742073059082,101.11312866210938,125.56732177734375
2020-01-14,59.09660339355469,55.15559387207031,56.85386276245117,30.220632553100586,82.11205291748047,94.11766815185547,61.87723159790039,38.10611343383789,63.259178161621094,101.72508239746094,125.5276870727539
2020-01-15,59.499755859375,55.42372512817383,56.43582534790039,30.054048538208008,82.23998260498047,94.22655487060547,62.31858444213867,38.370460510253906,64.14508056640625,102.60355377197266,125.2403793334961
2020-01-16,59.8537483215332,55.85074996948242,56.53083419799805,30.318626403808594,83.05677795410156,95.49359893798828,62.485313415527344,38.7131462097168,64.54421997070312,103.13656616210938,126.35992431640625
2020-01-17,60.119239807128906,56.28770446777344,56.169795989990234,30.40682029724121,83.06661987304688,96.13701629638672,62.59320068359375,38.76210021972656,64.9920425415039,103.13656616210938,126.80575561523438
2020-01-21,59.47026062011719,56.23805236816406,55.162689208984375,30.152040481567383,82.15142059326172,96.09741973876953,62.8089714050293,39.15373992919922,65.58588409423828,103.2451400756836,126.41935729980469
2020-01-22,59.23427200317383,56.208255767822266,54.63063430786133,30.240232467651367,81.71842193603516,96.44387817382812,62.85800552368164,38.84042739868164,65.79032135009766,103.37345886230469,126.35992431640625
2020-01-23,59.165435791015625,55.9798469543457,54.42161178588867,30.16183853149414,82.60409545898438,96.89922332763672,62.79916000366211,39.21248245239258,66.37443542480469,102.8503189086914,126.54816436767578
2020-01-24,58.742618560791016,55.3045539855957,53.79454803466797,29.77967071533203,82.22030639648438,96.44387817382812,62.36762237548828,39.15373992919922,66.54966735839844,101.13285827636719,124.78462982177734
2020-01-27,57.474151611328125,54.440574645996094,52.302894592285156,29.319108963012695,80.66545104980469,94.1473617553711,62.17146682739258,38.98728942871094,66.38417053222656,100.36296081542969,122.9220199584961
