Date,Biggest Gains, News
2020-03-20,0.093828,hopes on $2 trillion stimulus package)
2020-03-13,0.092871,
2020-04-06,0.070331,
2020-03-26,0.062414,
2020-03-17,0.059955,
Date,Biggest Drops, News
2020-03-16,-0.119841,
2020-03-12,-0.095113,
2020-03-09,-0.075970,
2020-06-11,-0.058944,
2020-03-18,-0.051831,
