Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2020-02-28,52.720001220703125,50.7599983215332,45.27000045776367,26.59000015258789,73.08000183105469,88.37000274658203,57.9900016784668,36.790000915527344,62.18000030517578,92.61000061035156,115.83000183105469
2020-03-02,54.97999954223633,52.52000045776367,47.099998474121094,27.950000762939453,75.6500015258789,93.4800033569336,61.09000015258789,38.619998931884766,65.83999633789062,96.94999694824219,119.80999755859375
2020-03-03,54.5,50.790000915527344,45.65999984741211,26.899999618530273,73.80000305175781,89.93000030517578,60.2599983215332,38.59000015258789,65.02999877929688,94.54000091552734,116.91000366210938
2020-03-04,56.7599983215332,52.619998931884766,46.7400016784668,27.790000915527344,76.8499984741211,93.79000091552734,63.220001220703125,40.09000015258789,68.72000122070312,99.98999786376953,120.94999694824219
2020-03-05,54.959999084472656,50.70000076293945,45.029998779296875,26.450000762939453,73.08999633789062,90.83000183105469,62.029998779296875,39.16999816894531,67.66000366210938,97.66999816894531,116.44000244140625
2020-03-06,53.529998779296875,49.81999969482422,42.5,25.549999237060547,72.44999694824219,88.91000366210938,61.540000915527344,38.5,67.11000061035156,97.1500015258789,114.6500015258789
2020-03-09,48.52000045776367,46.5,33.939998626708984,22.809999465942383,65.7699966430664,82.16000366210938,58.86000061035156,35.779998779296875,63.459999084472656,92.0999984741211,107.43000030517578
2020-03-10,50.4900016784668,48.869998931884766,35.54999923706055,24.149999618530273,69.18000030517578,87.63999938964844,60.54999923706055,37.52000045776367,64.05000305175781,95.26000213623047,113.37000274658203
2020-03-11,48.09000015258789,46.77000045776367,33.66999816894531,22.84000015258789,65.12000274658203,83.5,57.58000183105469,35.5099983215332,60.83000183105469,91.62000274658203,107.16999816894531
2020-03-12,43.459999084472656,42.380001068115234,29.469999313354492,20.3700008392334,58.380001068115234,75.3499984741211,52.16999816894531,32.459999084472656,54.689998626708984,84.77999877929688,96.33999633789062
