Date,Rank,Symbol,Name,Log Return
2020-03-09,1,XLE,Energy,-0.22490986
2020-03-12,1,XLE,Energy,-0.13323441
2020-03-16,1,XLRE,Real Estate,-0.17436692
2020-03-18,1,XLE,Energy,-0.15498438
2020-06-11,1,XLE,Energy,-0.09895489
