Symbol,Name,GICS Sector,GICS Sub-Industry,ReturnSum
CARR,Carrier Global,Industrials,Building Products,1.160282130498672
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,1.0900038846302778
NVDA,Nvidia Corporation,Information Technology,Semiconductors,0.9573669643796165
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,0.7475282566447277
CTLT,Catalent,Health Care,Pharmaceuticals,0.7298512464476516
NOW,ServiceNow,Information Technology,Systems Software,0.6699733871646458
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,0.6615853982657427
LB,L Brands Inc-,Consumer Discretionary,Apparel Retail,0.6420577737444546
ALB,Albemarle Corp,Materials,Specialty Chemicals,0.616174076218158
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,0.5934223055082839
