Symbol,Name,GICS Sector,GICS Sub-Industry,ReturnSum,Rank
CAT,Caterpillar Inc-,Industrials,Construction Machinery & Heavy Trucks,0.1669376629870385,168
CB,Chubb Limited,Financials,Property & Casualty Insurance,-0.013508767005987465,309
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,-0.3098810267401859,442
CBRE,CBRE Group,Real Estate,Real Estate Services,0.024329598672920838,278
CCI,Crown Castle International Corp-,Real Estate,Specialized REITs,0.2211219272139715,126
CCL,Carnival Corp-,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",-1.0301100565120578,504
CDNS,Cadence Design Systems,Information Technology,Application Software,0.5402059499901952,18
CDW,CDW,Information Technology,Technology Distributors,0.007587346481159329,297
CE,Celanese,Materials,Specialty Chemicals,0.0192639207089087,281
CERN,Cerner,Health Care,Health Care Technology,0.09822985315986443,218
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,-0.39668601370067336,464
CFG,Citizens Financial Group,Financials,Regional Banks,-0.17969343956792727,398
CHD,Church & Dwight,Consumer Staples,Household Products,0.2602150183811318,107
CHRW,C- H- Robinson Worldwide,Industrials,Air Freight & Logistics,0.20771463560231496,134
CHTR,Charter Communications,Communication Services,Cable & Satellite,0.3080627414128685,82
CI,CIGNA Corp-,Health Care,Managed Health Care,0.11405183060924173,206
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,-0.30710380167874973,441
CL,Colgate-Palmolive,Consumer Staples,Household Products,0.25163242912094574,112
CLX,The Clorox Company,Consumer Staples,Household Products,0.3557523008748831,59
CMA,Comerica Inc-,Financials,Diversified Banks,-0.32634645359939896,448
CMCSA,Comcast Corp-,Communication Services,Cable & Satellite,0.09498368414642755,221
CME,CME Group Inc-,Financials,Financial Exchanges & Data,-0.2073530443594791,406
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,0.505774950797786,20
CMI,Cummins Inc-,Industrials,Industrial Machinery,0.2512238643321325,113
CMS,CMS Energy,Utilities,Multi-Utilities,0.06623039726400748,247
CNC,Centene Corporation,Health Care,Managed Health Care,0.18200301738397684,157
CNP,CenterPoint Energy,Utilities,Multi-Utilities,-0.04947721926146187,334
COF,Capital One Financial,Financials,Consumer Finance,-0.11616698029683903,365
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,-0.03073720305110328,317
COO,The Cooper Companies,Health Care,Health Care Supplies,0.12254753841261845,203
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,-0.49916284829669166,477
COST,Costco Wholesale Corp-,Consumer Staples,Hypermarkets & Super Centers,0.221205265581375,125
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,0.03960297058802098,266
CPRT,Copart Inc,Industrials,Diversified Support Services,0.3139929811586626,78
CRM,Salesforce-com,Information Technology,Application Software,0.4244612114271149,40
CSCO,Cisco Systems,Information Technology,Communications Equipment,-0.08537958520173561,353
CSX,CSX Corp-,Industrials,Railroads,0.23521946324035525,119
CTAS,Cintas Corporation,Industrials,Diversified Support Services,0.3292846764161368,70
CTLT,Catalent,Health Care,Pharmaceuticals,0.7298512464476516,5
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,0.19712157920002937,145
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,0.34590282206772827,65
CTXS,Citrix Systems,Information Technology,Application Software,0.04913275426952168,261
CVS,CVS Health,Health Care,Health Care Services,-0.04529647313756868,323
CVX,Chevron Corp-,Energy,Integrated Oil & Gas,-0.37360894709127024,461
CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,-0.3565187646308914,453
D,Dominion Energy,Utilities,Electric Utilities,0.03376757774094585,272
DAL,Delta Air Lines Inc-,Industrials,Airlines,-0.4442004111187998,471
DD,DuPont de Nemours Inc,Materials,Specialty Chemicals,-0.09305072663119063,357
DE,Deere & Co-,Industrials,Agricultural & Farm Machinery,0.36678529814525973,54
DFS,Discover Financial Services,Financials,Consumer Finance,-0.09826052485732362,360
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,0.2894601496809628,88
DGX,Quest Diagnostics,Health Care,Health Care Services,0.15357476620556554,178
DHI,D- R- Horton,Consumer Discretionary,Homebuilding,0.31446953941485845,77
DHR,Danaher Corp-,Health Care,Health Care Equipment,0.49544811120358645,24
DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,-0.04459630923520308,322
DISCA,"Discovery, Inc- (Class A)",Communication Services,Broadcasting,-0.2511221236200072,428
DISCK,"Discovery, Inc- (Class C)",Communication Services,Broadcasting,-0.28816041216487065,438
DISH,Dish Network,Communication Services,Cable & Satellite,-0.13087253097910434,375
DLR,Digital Realty Trust Inc,Real Estate,Specialized REITs,0.19628649707010482,147
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,-0.13662037334870547,379
DOV,Dover Corporation,Industrials,Industrial Machinery,0.11066293125622906,211
DOW,Dow Inc-,Materials,Commodity Chemicals,-0.0541178269777447,336
DPZ,Domino's Pizza,Consumer Discretionary,Restaurants,0.32530788909934927,71
DRE,Duke Realty Corp,Real Estate,Industrial REITs,0.1374709892552346,193
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,-0.04551403735240456,325
DTE,DTE Energy Co-,Utilities,Multi-Utilities,0.05391422782849986,256
DUK,Duke Energy,Utilities,Electric Utilities,0.06976025732728885,243
DVA,DaVita Inc-,Health Care,Health Care Facilities,0.44518526229512645,36
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,-0.6497752505238168,486
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,-0.5966899763443507,485
DXCM,DexCom,Health Care,Health Care Equipment,0.4789855821800302,30
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,0.21387375349877402,131
EBAY,eBay Inc-,Consumer Discretionary,Internet & Direct Marketing Retail,0.3220300230750581,73
ECL,Ecolab Inc-,Materials,Specialty Chemicals,0.0834629072342068,230
ED,Consolidated Edison,Utilities,Electric Utilities,-0.07206713569030399,344
EFX,Equifax Inc-,Industrials,Research & Consulting Services,0.1763427490295726,163
EIX,Edison Int'l,Utilities,Electric Utilities,-0.09010267062694766,355
EL,Estée Lauder Companies,Consumer Staples,Personal Products,0.28947372229595203,87
EMN,Eastman Chemical,Materials,Diversified Chemicals,0.1654017002438195,170
EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,0.030536717080394737,274
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,-0.5435172489815159,481
EQIX,Equinix,Real Estate,Specialized REITs,0.32372024314645387,72
EQR,Equity Residential,Real Estate,Residential REITs,-0.3628404046758078,456
ES,Eversource Energy,Utilities,Multi-Utilities,0.13793603074736893,192
ESS,"Essex Property Trust, Inc-",Real Estate,Residential REITs,-0.2242805269706878,412
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,0.22063462783262366,127
ETR,Entergy Corp-,Utilities,Electric Utilities,-0.06669433509523515,341
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,1.0900038846302778,2
EVRG,Evergy,Utilities,Electric Utilities,-0.12555447741760872,369
EW,Edwards Lifesciences,Health Care,Health Care Equipment,-0.0012220045537105761,302
EXC,Exelon Corp-,Utilities,Multi-Utilities,-0.04846819269005209,331
EXPD,Expeditors,Industrials,Air Freight & Logistics,0.15491716234828345,177
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,0.2549314241477987,110
EXR,Extra Space Storage,Real Estate,Specialized REITs,0.09361270713270642,224
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,-0.04689252260141075,327
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,-0.8304474968317663,496
FAST,Fastenal Co,Industrials,Building Products,0.2687171553407097,102
FB,"Facebook, Inc-",Communication Services,Interactive Media & Services,0.35032474671606906,64
FBHS,Fortune Brands Home & Security,Industrials,Building Products,0.2843463776516728,93
FCX,Freeport-McMoRan Inc-,Materials,Copper,0.5903718846966513,11
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,0.5407896761753364,17
FE,FirstEnergy Corp,Utilities,Electric Utilities,-0.46626912301871926,476
FFIV,F5 Networks,Information Technology,Communications Equipment,0.09189197192608844,226
FIS,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,0.06347031363111455,249
FISV,Fiserv Inc,Information Technology,Data Processing & Outsourced Services,-0.04543792683398351,324
FITB,Fifth Third Bancorp,Financials,Regional Banks,-0.16917261033086106,392
FLIR,FLIR Systems,Information Technology,Electronic Equipment & Instruments,-0.36648732687172014,457
FLS,Flowserve Corporation,Industrials,Industrial Machinery,-0.4062842277926393,466
FLT,FleetCor Technologies Inc,Information Technology,Data Processing & Outsourced Services,-0.13304147889721207,377
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,0.11296041228342801,208
FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment,-0.24823630618629977,427
FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment,-0.2520441938540898,429
FRC,First Republic Bank,Financials,Regional Banks,0.20819650837802328,133
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,-0.399077219190076,465
FTI,TechnipFMC,Energy,Oil & Gas Equipment & Services,-1.0208849380724132,503
FTNT,Fortinet,Information Technology,Systems Software,0.13244746383861639,195
FTV,Fortive Corp,Industrials,Industrial Machinery,0.16860759867995512,167
GD,General Dynamics,Industrials,Aerospace & Defense,-0.21326366749417502,408
GE,General Electric,Industrials,Industrial Conglomerates,-0.21946112404111773,410
GILD,Gilead Sciences,Health Care,Biotechnology,-0.0713337556226179,343
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,0.14842656035034452,183
GL,Globe Life Inc-,Financials,Life & Health Insurance,-0.075217180463369,346
GLW,Corning Inc-,Information Technology,Electronic Components,0.1994930222572293,142
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,0.11025496569345705,212
GOOG,Alphabet Inc- (Class C),Communication Services,Interactive Media & Services,0.2861039087656536,91
GOOGL,Alphabet Inc- (Class A),Communication Services,Interactive Media & Services,0.2844184967907495,92
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,-0.05691718339221552,338
GPN,Global Payments Inc-,Information Technology,Data Processing & Outsourced Services,0.049950617671129294,259
GPS,Gap Inc-,Consumer Discretionary,Apparel Retail,0.21839721698779613,129
GRMN,Garmin Ltd-,Consumer Discretionary,Consumer Electronics,0.18969969726458658,151
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,-0.005326294325641356,304
