Symbol,Name,GICS Sector,GICS Sub-Industry,ReturnSum,Rank
XLNX,Xilinx,Information Technology,Semiconductors,0.3096209045907017,81
CHTR,Charter Communications,Communication Services,Cable & Satellite,0.3080627414128685,82
VAR,Varian Medical Systems,Health Care,Health Care Equipment,0.30212861848121975,83
URI,"United Rentals, Inc-",Industrials,Trading Companies & Distributors,0.29486435655417154,84
INTU,Intuit Inc-,Information Technology,Application Software,0.2939115366025362,85
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,0.2926953708229121,86
EL,Estée Lauder Companies,Consumer Staples,Personal Products,0.28947372229595203,87
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,0.2894601496809628,88
NEE,NextEra Energy,Utilities,Multi-Utilities,0.2883300796565891,89
MCHP,Microchip Technology,Information Technology,Semiconductors,0.28781421518942807,90
GOOG,Alphabet Inc- (Class C),Communication Services,Interactive Media & Services,0.2861039087656536,91
GOOGL,Alphabet Inc- (Class A),Communication Services,Interactive Media & Services,0.2844184967907495,92
FBHS,Fortune Brands Home & Security,Industrials,Building Products,0.2843463776516728,93
TXN,Texas Instruments,Information Technology,Semiconductors,0.28332934688660316,94
KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,0.28325873122594203,95
UPS,United Parcel Service,Industrials,Air Freight & Logistics,0.27975039357261267,96
ISRG,Intuitive Surgical Inc-,Health Care,Health Care Equipment,0.2797407920588739,97
UNH,UnitedHealth Group Inc-,Health Care,Managed Health Care,0.27780615001393016,98
PH,Parker-Hannifin,Industrials,Industrial Machinery,0.27536392489855643,99
ABT,Abbott Laboratories,Health Care,Health Care Equipment,0.27287220311700366,100
PGR,Progressive Corp-,Financials,Property & Casualty Insurance,0.27171162432205165,101
FAST,Fastenal Co,Industrials,Building Products,0.2687171553407097,102
WHR,Whirlpool Corp-,Consumer Discretionary,Household Appliances,0.2680072200819268,103
NWSA,News Corp- Class A,Communication Services,Publishing,0.2678563561057672,104
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,0.26771751380874775,105
SPGI,"S&P Global, Inc-",Financials,Financial Exchanges & Data,0.26284107505489374,106
CHD,Church & Dwight,Consumer Staples,Household Products,0.2602150183811318,107
STE,STERIS plc,Health Care,Health Care Equipment,0.25933443121175515,108
HUM,Humana Inc-,Health Care,Managed Health Care,0.2558901232550852,109
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,0.2549314241477987,110
NWS,News Corp- Class B,Communication Services,Publishing,0.25447929819347337,111
CL,Colgate-Palmolive,Consumer Staples,Household Products,0.25163242912094574,112
CMI,Cummins Inc-,Industrials,Industrial Machinery,0.2512238643321325,113
INFO,IHS Markit Ltd-,Industrials,Research & Consulting Services,0.2501774824486347,114
SBAC,SBA Communications,Real Estate,Specialized REITs,0.24787114584614756,115
LEN,Lennar Corp-,Consumer Discretionary,Homebuilding,0.24200418681721203,116
IR,Ingersoll Rand,Industrials,Industrial Machinery,0.2395899442199152,117
WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,0.23619830117968377,118
CSX,CSX Corp-,Industrials,Railroads,0.23521946324035525,119
AJG,Arthur J- Gallagher & Co-,Financials,Insurance Brokers,0.22995082564739278,120
LLY,Lilly (Eli) & Co-,Health Care,Pharmaceuticals,0.22943169671634678,121
NSC,Norfolk Southern Corp-,Industrials,Railroads,0.2249109060066985,122
MCO,Moody's Corp,Financials,Financial Exchanges & Data,0.22395178652368486,123
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,0.22362936771241948,124
COST,Costco Wholesale Corp-,Consumer Staples,Hypermarkets & Super Centers,0.221205265581375,125
CCI,Crown Castle International Corp-,Real Estate,Specialized REITs,0.2211219272139715,126
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,0.22063462783262366,127
GWW,Grainger (W-W-) Inc-,Industrials,Industrial Machinery,0.2205991253722459,128
GPS,Gap Inc-,Consumer Discretionary,Apparel Retail,0.21839721698779613,129
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,0.21389124878623988,130
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,0.21387375349877402,131
MCK,McKesson Corp-,Health Care,Health Care Distributors,0.21005938698363025,132
FRC,First Republic Bank,Financials,Regional Banks,0.20819650837802328,133
CHRW,C- H- Robinson Worldwide,Industrials,Air Freight & Logistics,0.20771463560231496,134
HRL,Hormel Foods Corp-,Consumer Staples,Packaged Foods & Meats,0.20744762109825388,135
BF-B,Brown-Forman Corp-,Consumer Staples,Distillers & Vintners,0.20684708959015552,136
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,0.2057894196768757,137
LIN,Linde plc,Materials,Industrial Gases,0.2035838614719978,138
SHW,Sherwin-Williams,Materials,Specialty Chemicals,0.2031291319144657,139
XYL,Xylem Inc-,Industrials,Industrial Machinery,0.20284865728172008,140
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,0.20249781396705657,141
GLW,Corning Inc-,Information Technology,Electronic Components,0.1994930222572293,142
ABMD,ABIOMED Inc,Health Care,Health Care Equipment,0.1979670597211225,143
KSU,Kansas City Southern,Industrials,Railroads,0.1975218407860666,144
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,0.19712157920002937,145
XEL,Xcel Energy Inc,Utilities,Multi-Utilities,0.19640518985397648,146
DLR,Digital Realty Trust Inc,Real Estate,Specialized REITs,0.19628649707010482,147
NDAQ,"Nasdaq, Inc-",Financials,Financial Exchanges & Data,0.19441154145170003,148
MU,Micron Technology,Information Technology,Semiconductors,0.19409437323338352,149
PNR,Pentair plc,Industrials,Industrial Machinery,0.1915551123820478,150
GRMN,Garmin Ltd-,Consumer Discretionary,Consumer Electronics,0.18969969726458658,151
MAS,Masco Corp-,Industrials,Building Products,0.1894913634605473,152
ITW,Illinois Tool Works,Industrials,Industrial Machinery,0.18838330685684923,153
APH,Amphenol Corp,Information Technology,Electronic Components,0.1880103227449581,154
ADI,"Analog Devices, Inc-",Information Technology,Semiconductors,0.18371682956058066,155
KR,Kroger Co-,Consumer Staples,Food Retail,0.18356687101186253,156
CNC,Centene Corporation,Health Care,Managed Health Care,0.18200301738397684,157
ROK,Rockwell Automation Inc-,Industrials,Electrical Components & Equipment,0.18005535916017834,158
PG,Procter & Gamble,Consumer Staples,Personal Products,0.17977419366070535,159
AME,AMETEK Inc-,Industrials,Electrical Components & Equipment,0.17777830424893182,160
AVGO,Broadcom Inc-,Information Technology,Semiconductors,0.17700237584358547,161
MA,Mastercard Inc-,Information Technology,Data Processing & Outsourced Services,0.17664864716061857,162
EFX,Equifax Inc-,Industrials,Research & Consulting Services,0.1763427490295726,163
IEX,IDEX Corporation,Industrials,Industrial Machinery,0.17560399245121516,164
APTV,Aptiv PLC,Consumer Discretionary,Auto Parts & Equipment,0.1745094418147346,165
IQV,IQVIA Holdings Inc-,Health Care,Life Sciences Tools & Services,0.17162746960821096,166
FTV,Fortive Corp,Industrials,Industrial Machinery,0.16860759867995512,167
CAT,Caterpillar Inc-,Industrials,Construction Machinery & Heavy Trucks,0.1669376629870385,168
NVR,"NVR, Inc-",Consumer Discretionary,Homebuilding,0.1668429055425804,169
EMN,Eastman Chemical,Materials,Diversified Chemicals,0.1654017002438195,170
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,0.16460219875443727,171
AMCR,Amcor plc,Materials,Paper Packaging,0.1626685569062829,172
TEL,TE Connectivity Ltd-,Information Technology,Electronic Manufacturing Services,0.16261561781720957,173
AMAT,Applied Materials Inc-,Information Technology,Semiconductor Equipment,0.15975159069057554,174
V,Visa Inc-,Information Technology,Data Processing & Outsourced Services,0.15771234579005977,175
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,0.15534808934899047,176
EXPD,Expeditors,Industrials,Air Freight & Logistics,0.15491716234828345,177
DGX,Quest Diagnostics,Health Care,Health Care Services,0.15357476620556554,178
LH,Laboratory Corp- of America Holding,Health Care,Health Care Services,0.15139044394891243,179
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,0.15104685530241113,180
RSG,Republic Services Inc,Industrials,Environmental & Facilities Services,0.15084124096756568,181
PLD,Prologis,Real Estate,Industrial REITs,0.150102099571086,182
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,0.14842656035034452,183
WEC,WEC Energy Group,Utilities,Electric Utilities,0.1482124436297454,184
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,0.14631841827940661,185
TROW,T- Rowe Price Group,Financials,Asset Management & Custody Banks,0.1451241132162977,186
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,0.14456942258402705,187
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,0.14347125057975063,188
UNP,Union Pacific Corp,Industrials,Railroads,0.14335421862779185,189
PKG,Packaging Corporation of America,Materials,Paper Packaging,0.1428640681770048,190
SWK,Stanley Black & Decker,Industrials,Industrial Machinery,0.14045395764696877,191
ES,Eversource Energy,Utilities,Multi-Utilities,0.13793603074736893,192
DRE,Duke Realty Corp,Real Estate,Industrial REITs,0.1374709892552346,193
ROP,Roper Technologies,Industrials,Industrial Conglomerates,0.1370007859368343,194
FTNT,Fortinet,Information Technology,Systems Software,0.13244746383861639,195
AMT,American Tower Corp-,Real Estate,Specialized REITs,0.130403999806731,196
MKC,McCormick & Co-,Consumer Staples,Packaged Foods & Meats,0.12836033009079983,197
SBUX,Starbucks Corp-,Consumer Discretionary,Restaurants,0.1264406238333322,198
SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,0.1259191261633532,199
SEE,Sealed Air,Materials,Paper Packaging,0.1254417188174557,200
AVY,Avery Dennison Corp,Materials,Paper Packaging,0.12442358412226895,201
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,0.12324833252932876,202
COO,The Cooper Companies,Health Care,Health Care Supplies,0.12254753841261845,203
SYK,Stryker Corp-,Health Care,Health Care Equipment,0.11738970233272994,204
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,0.11730668489690288,205
CI,CIGNA Corp-,Health Care,Managed Health Care,0.11405183060924173,206
PCAR,PACCAR Inc-,Industrials,Construction Machinery & Heavy Trucks,0.11403632472502068,207
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,0.11296041228342801,208
ANTM,Anthem,Health Care,Managed Health Care,0.11153304392064456,209
ABBV,AbbVie Inc-,Health Care,Pharmaceuticals,0.11105344883253565,210
DOV,Dover Corporation,Industrials,Industrial Machinery,0.11066293125622906,211
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,0.11025496569345705,212
JBHT,J- B- Hunt Transport Services,Industrials,Trucking,0.10962821842986159,213
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,0.10513811922282912,214
BKNG,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail,0.10469128867225663,215
HON,Honeywell Int'l Inc-,Industrials,Industrial Conglomerates,0.10335573412157828,216
PHM,PulteGroup,Consumer Discretionary,Homebuilding,0.0983196149172727,217
CERN,Cerner,Health Care,Health Care Technology,0.09822985315986443,218
PPG,PPG Industries,Materials,Specialty Chemicals,0.09790426799736451,219
TDY,Teledyne Technologies,Industrials,Aerospace & Defense,0.09634679564624093,220
CMCSA,Comcast Corp-,Communication Services,Cable & Satellite,0.09498368414642755,221
MCD,McDonald's Corp-,Consumer Discretionary,Restaurants,0.09490234442637302,222
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,0.09458708771853708,223
EXR,Extra Space Storage,Real Estate,Specialized REITs,0.09361270713270642,224
PSA,Public Storage,Real Estate,Specialized REITs,0.0932571405392082,225
FFIV,F5 Networks,Information Technology,Communications Equipment,0.09189197192608844,226
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,0.09099160994810518,227
J,Jacobs Engineering Group,Industrials,Construction & Engineering,0.09054760390426964,228
WLTW,Willis Towers Watson,Financials,Insurance Brokers,0.0903180768546008,229
ECL,Ecolab Inc-,Materials,Specialty Chemicals,0.0834629072342068,230
WM,Waste Management Inc-,Industrials,Environmental & Facilities Services,0.08343863433401566,231
RHI,Robert Half International,Industrials,Human Resource & Employment Services,0.08243255515117198,232
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,0.08236382609175052,233
HCA,HCA Healthcare,Health Care,Health Care Facilities,0.08135126798879355,234
PAYX,Paychex Inc-,Information Technology,Data Processing & Outsourced Services,0.08125898719299585,235
AOS,A-O- Smith Corp,Industrials,Building Products,0.08110254275379702,236
LDOS,Leidos Holdings,Information Technology,IT Consulting & Other Services,0.07856284270383185,237
PEP,PepsiCo Inc-,Consumer Staples,Soft Drinks,0.0783109165931819,238
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,0.07568112741864752,239
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,0.07225415136417723,240
AMGN,Amgen Inc-,Health Care,Biotechnology,0.0720489505038131,241
MMC,Marsh & McLennan,Financials,Insurance Brokers,0.07141644557123072,242
DUK,Duke Energy,Utilities,Electric Utilities,0.06976025732728885,243
AEE,Ameren Corp,Utilities,Multi-Utilities,0.06932343814696651,244
WAT,Waters Corporation,Health Care,Health Care Distributors,0.06816418542803149,245
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,0.06647967798198806,246
CMS,CMS Energy,Utilities,Multi-Utilities,0.06623039726400748,247
KMB,Kimberly-Clark,Consumer Staples,Household Products,0.06407303409650922,248
FIS,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,0.06347031363111455,249
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,0.06312918976618676,250
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,0.06237030255579157,251
LNT,Alliant Energy Corp,Utilities,Electric Utilities,0.06089153597713448,252
VRSN,Verisign Inc-,Information Technology,Internet Services & Infrastructure,0.06074741342308698,253
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.05948515629279427,254
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,0.055059763792087324,255
DTE,DTE Energy Co-,Utilities,Multi-Utilities,0.05391422782849986,256
JCI,Johnson Controls International,Industrials,Building Products,0.05194188156747259,257
MSI,Motorola Solutions Inc-,Information Technology,Communications Equipment,0.05064524554472882,258
GPN,Global Payments Inc-,Information Technology,Data Processing & Outsourced Services,0.049950617671129294,259
TFX,Teleflex,Health Care,Health Care Equipment,0.04924436708097346,260
CTXS,Citrix Systems,Information Technology,Application Software,0.04913275426952168,261
TIF,Tiffany & Co-,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.04906418637256138,262
IP,International Paper,Materials,Paper Packaging,0.04790307386429049,263
SNA,Snap-on,Industrials,Industrial Machinery,0.04568099629977951,264
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,0.045645533231436275,265
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,0.03960297058802098,266
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,0.036528731347061694,267
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,0.03621599888720084,268
PFE,Pfizer Inc-,Health Care,Pharmaceuticals,0.035313283384311944,269
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,0.03472634937497787,270
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,0.03435346612968715,271
D,Dominion Energy,Utilities,Electric Utilities,0.03376757774094585,272
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,0.030726245691766962,273
EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,0.030536717080394737,274
AON,Aon plc,Financials,Insurance Brokers,0.02842802352824947,275
SO,Southern Company,Utilities,Electric Utilities,0.02696439082501456,276
VZ,Verizon Communications,Communication Services,Integrated Telecommunication Services,0.025712674963870086,277
CBRE,CBRE Group,Real Estate,Real Estate Services,0.024329598672920838,278
CAH,Cardinal Health Inc-,Health Care,Health Care Distributors,0.020938516114256345,279
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,0.020896438480122015,280
CE,Celanese,Materials,Specialty Chemicals,0.0192639207089087,281
K,Kellogg Co-,Consumer Staples,Packaged Foods & Meats,0.016868950857315212,282
WRB,W- R- Berkley Corporation,Financials,Property & Casualty Insurance,0.014921340844011866,283
KO,Coca-Cola Company,Consumer Staples,Soft Drinks,0.014700664731208235,284
MLM,Martin Marietta Materials,Materials,Construction Materials,0.014145220658974722,285
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,0.013689314713701606,286
TDG,TransDigm Group,Industrials,Aerospace & Defense,0.012427355923136929,287
WRK,WestRock,Materials,Paper Packaging,0.01218775927554816,288
BAX,Baxter International Inc-,Health Care,Health Care Equipment,0.011233313096454367,289
AIZ,Assurant,Financials,Multi-line Insurance,0.010692853335058317,290
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,0.010343867586925626,291
VNT,Vontier,Information Technology,Electronic Equipment & Instruments,0.0102023433719296,292
KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,0.009855474607320502,293
ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,0.009335681235825177,294
ORCL,Oracle Corp-,Information Technology,Application Software,0.008647401598864235,295
TRV,The Travelers Companies Inc-,Financials,Property & Casualty Insurance,0.007904558995505795,296
CDW,CDW,Information Technology,Technology Distributors,0.007587346481159329,297
MDT,Medtronic plc,Health Care,Health Care Equipment,0.0039187993097584695,298
AEP,American Electric Power,Utilities,Electric Utilities,0.0034554422745713964,299
ADP,Automatic Data Processing,Information Technology,Internet Services & Infrastructure,0.0026838288322323933,300
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,-5.067423335276544E-4,301
EW,Edwards Lifesciences,Health Care,Health Care Equipment,-0.0012220045537105761,302
TJX,TJX Companies Inc-,Consumer Discretionary,Apparel Retail,-0.003181218635290861,303
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,-0.005326294325641356,304
PRGO,Perrigo,Health Care,Pharmaceuticals,-0.0065014145511668175,305
WY,Weyerhaeuser,Real Estate,Specialized REITs,-0.0071807576168794185,306
MMM,3M Company,Industrials,Industrial Conglomerates,-0.012234258589160163,307
IT,Gartner Inc,Information Technology,IT Consulting & Other Services,-0.01233035110635683,308
CB,Chubb Limited,Financials,Property & Casualty Insurance,-0.013508767005987465,309
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,-0.013816502054396551,310
TPR,"Tapestry, Inc-",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",-0.01581954234279692,311
VMC,Vulcan Materials,Materials,Construction Materials,-0.01824111822497798,312
BDX,Becton Dickinson,Health Care,Health Care Equipment,-0.02235845974064432,313
PEG,Public Service Enterprise Group (PSEG),Utilities,Electric Utilities,-0.02511146252800245,314
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,-0.02605063882219838,315
HPQ,HP Inc-,Information Technology,"Technology Hardware, Storage & Peripherals",-0.02865238848607987,316
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,-0.03073720305110328,317
LHX,L3Harris Technologies,Industrials,Aerospace & Defense,-0.041435277853452135,318
HSIC,Henry Schein,Health Care,Health Care Distributors,-0.0419119958387455,319
ALLE,Allegion,Industrials,Building Products,-0.04393296351918252,320
MAA,Mid-America Apartments,Real Estate,Residential REITs,-0.044192174122144934,321
DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,-0.04459630923520308,322
CVS,CVS Health,Health Care,Health Care Services,-0.04529647313756868,323
FISV,Fiserv Inc,Information Technology,Data Processing & Outsourced Services,-0.04543792683398351,324
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,-0.04551403735240456,325
