Date,USA_StringencyIndex,USA_StringencyIndex_LogChange,USA_StringencyIndex_Cumulative,USA_StringencyLegacyIndex,USA_StringencyLegacyIndex_LogChange,USA_StringencyLegacyIndex_Cumulative,USA_GovernmentResponseIndex,USA_GovernmentResponseIndex_LogChange,USA_GovernmentResponseIndex_Cumulative,USA_ContainmentHealthIndex,USA_ContainmentHealthIndex_LogChange,USA_ContainmentHealthIndex_Cumulative,USA_EconomicSupportIndex,USA_EconomicSupportIndex_LogChange,USA_EconomicSupportIndex_Cumulative
2020-02-07,5.56,0.0,1.8809906244277954,7.14,0.0,2.096790075302124,7.14,0.0,2.0967902541160583,8.33,0.0,2.233235001564026,0.0,0.0,0.0
2020-02-08,5.56,0.0,1.8809906244277954,7.14,0.0,2.096790075302124,7.14,0.0,2.0967902541160583,8.33,0.0,2.233235001564026,0.0,0.0,0.0
2020-02-09,5.56,0.0,1.8809906244277954,7.14,0.0,2.096790075302124,7.14,0.0,2.0967902541160583,8.33,0.0,2.233235001564026,0.0,0.0,0.0
2020-02-10,5.56,0.0,1.8809906244277954,7.14,0.0,2.096790075302124,7.14,0.0,2.0967902541160583,8.33,0.0,2.233235001564026,0.0,0.0,0.0
2020-02-11,5.56,0.0,1.8809906244277954,7.14,0.0,2.096790075302124,7.14,0.0,2.0967902541160583,8.33,0.0,2.233235001564026,0.0,0.0,0.0
2020-02-12,5.56,0.0,1.8809906244277954,7.14,0.0,2.096790075302124,7.14,0.0,2.0967902541160583,8.33,0.0,2.233235001564026,0.0,0.0,0.0
2020-02-13,5.56,0.0,1.8809906244277954,7.14,0.0,2.096790075302124,7.14,0.0,2.0967902541160583,8.33,0.0,2.233235001564026,0.0,0.0,0.0
2020-02-14,5.56,0.0,1.8809906244277954,7.14,0.0,2.096790075302124,7.14,0.0,2.0967902541160583,8.33,0.0,2.233235001564026,0.0,0.0,0.0
2020-02-15,5.56,0.0,1.8809906244277954,7.14,0.0,2.096790075302124,7.14,0.0,2.0967902541160583,8.33,0.0,2.233235001564026,0.0,0.0,0.0
2020-02-16,5.56,0.0,1.8809906244277954,7.14,0.0,2.096790075302124,7.14,0.0,2.0967902541160583,8.33,0.0,2.233235001564026,0.0,0.0,0.0
2020-02-17,5.56,0.0,1.8809906244277954,7.14,0.0,2.096790075302124,7.14,0.0,2.0967902541160583,8.33,0.0,2.233235001564026,0.0,0.0,0.0
2020-02-18,5.56,0.0,1.8809906244277954,7.14,0.0,2.096790075302124,7.14,0.0,2.0967902541160583,8.33,0.0,2.233235001564026,0.0,0.0,0.0
2020-02-19,5.56,0.0,1.8809906244277954,7.14,0.0,2.096790075302124,7.14,0.0,2.0967902541160583,8.33,0.0,2.233235001564026,0.0,0.0,0.0
2020-02-20,5.56,0.0,1.8809906244277954,7.14,0.0,2.096790075302124,7.14,0.0,2.0967902541160583,8.33,0.0,2.233235001564026,0.0,0.0,0.0
2020-02-21,5.56,0.0,1.8809906244277954,7.14,0.0,2.096790075302124,7.14,0.0,2.0967902541160583,8.33,0.0,2.233235001564026,0.0,0.0,0.0
2020-02-22,5.56,0.0,1.8809906244277954,7.14,0.0,2.096790075302124,7.14,0.0,2.0967902541160583,8.33,0.0,2.233235001564026,0.0,0.0,0.0
2020-02-23,5.56,0.0,1.8809906244277954,7.14,0.0,2.096790075302124,7.14,0.0,2.0967902541160583,8.33,0.0,2.233235001564026,0.0,0.0,0.0
2020-02-24,5.56,0.0,1.8809906244277954,7.14,0.0,2.096790075302124,7.14,0.0,2.0967902541160583,8.33,0.0,2.233235001564026,0.0,0.0,0.0
2020-02-25,5.56,0.0,1.8809906244277954,7.14,0.0,2.096790075302124,7.14,0.0,2.0967902541160583,8.33,0.0,2.233235001564026,0.0,0.0,0.0
2020-02-26,5.56,0.0,1.8809906244277954,7.14,0.0,2.096790075302124,7.14,0.0,2.0967902541160583,8.33,0.0,2.233235001564026,0.0,0.0,0.0
2020-02-27,5.56,0.0,1.8809906244277954,7.14,0.0,2.096790075302124,7.14,0.0,2.0967902541160583,8.33,0.0,2.233235001564026,0.0,0.0,0.0
2020-02-28,5.56,0.0,1.8809906244277954,7.14,0.0,2.096790075302124,9.52,0.25648803,2.3532782793045044,11.11,0.26079655,2.494031548500061,0.0,0.0,0.0
2020-02-29,5.56,0.0,1.8809906244277954,7.14,0.0,2.096790075302124,9.52,0.0,2.3532782793045044,11.11,0.0,2.494031548500061,0.0,0.0,0.0
2020-03-01,8.33,0.3522444,2.2332350313663483,11.9,0.46043712,2.5572271943092346,11.31,0.15713373,2.5104120075702667,13.19,0.15850593,2.652537479996681,0.0,0.0,0.0
2020-03-02,11.11,0.26079655,2.4940315783023834,15.48,0.24492021,2.802147403359413,13.1,0.13576286,2.6461748629808426,15.28,0.13739987,2.789937347173691,0.0,0.0,0.0
2020-03-03,11.11,0.0,2.4940315783023834,15.48,0.0,2.802147403359413,13.1,0.0,2.6461748629808426,15.28,0.0,2.789937347173691,0.0,0.0,0.0
2020-03-04,11.11,0.0,2.4940315783023834,15.48,0.0,2.802147403359413,15.48,0.15597273,2.8021475970745087,18.06,0.15765454,2.9475918859243393,0.0,0.0,0.0
2020-03-05,20.37,0.5679565,3.0619880855083466,26.19,0.5007017,3.302849128842354,21.43,0.30825183,3.1103994250297546,25.0,0.31050465,3.258096531033516,0.0,0.0,0.0
2020-03-06,20.37,0.0,3.0619880855083466,26.19,0.0,3.302849128842354,21.43,0.0,3.1103994250297546,25.0,0.0,3.258096531033516,0.0,0.0,0.0
2020-03-07,20.37,0.0,3.0619880855083466,26.19,0.0,3.302849128842354,21.43,0.0,3.1103994250297546,25.0,0.0,3.258096531033516,0.0,0.0,0.0
2020-03-08,20.37,0.0,3.0619880855083466,26.19,0.0,3.302849128842354,21.43,0.0,3.1103994250297546,25.0,0.0,3.258096531033516,0.0,0.0,0.0
2020-03-09,20.37,0.0,3.0619880855083466,26.19,0.0,3.302849128842354,21.43,0.0,3.1103994250297546,25.0,0.0,3.258096531033516,0.0,0.0,0.0
2020-03-10,20.37,0.0,3.0619880855083466,26.19,0.0,3.302849128842354,22.32,0.038912013,3.149311438202858,26.04,0.039220713,3.2973172441124916,0.0,0.0,0.0
