Symbol,S&P 500 Log Return,Predicted S&P 500 Log Return,Actual - Predicted,Return Beta,Constant,R2,Return p value
CBOE,-0.31780009510824314,-0.002825355054138209,-0.31497474005410475,0.14168062278111995,-5.806527951865534e-05,0.0,0.5981455769813837
CBRE,-0.0919561816778316,0.17335407493085708,-0.26531025660868884,0.9299641809450356,0.0006396109508354427,0.32,1.5675048622510621e-06
CCI,0.014448189937714224,0.5757726684661714,-0.5613244785284573,0.21939041780941324,0.0029959787151873515,0.01,0.43123705321908967
CCL,-0.9958624583241273,-0.4707863648078114,-0.5250760935163158,1.9738454252905513,-0.0031037565344590266,0.35,3.464961369111183e-07
CDNS,0.3697606976848231,0.19225420075669858,0.1775064969281245,1.6942457317192925,0.0005079859687859823,0.5,8.1845466456318e-11
CDW,0.007001643735743647,-0.2351041890197969,0.24210583275554057,1.2683813354697284,-0.0016358367195590704,0.34,5.988151141814706e-07
CE,0.1707849314794636,-0.7614261505551329,0.9322110820345963,1.6561817562058478,-0.004553219573903129,0.52,2.985169839882477e-11
CERN,-0.01708099656594797,0.17682321724861244,-0.19390421381456033,0.8958064845652699,0.0006684395506468938,0.18,0.0005128749044557968
CF,-0.24282561316265294,-0.7728521272953189,0.5300265141326651,1.6799852562542765,-0.004621226578486838,0.26,1.857688719067827e-05
CFG,-0.18886176268632626,-0.2288307193661891,0.03996895667986286,1.3719403479974766,-0.0016339242047919357,0.42,8.589766032206573e-09
CHD,0.14243200260873135,0.38653971345475924,-0.2441077108460281,-0.1877534002419661,0.002113094131653226,0.02,0.29025742789560427
CHRW,0.22444914415552475,-0.11914237756790376,0.34359152172342833,0.3706013888643743,-0.0007463096389809672,0.03,0.2117161327954929
CHTR,0.17652552774003105,0.4346277308106755,-0.25810220307064424,-0.22547373333429438,0.0023803393568990073,0.01,0.34780104993654715
CI,-0.00793421060039367,0.057005719883186964,-0.06493993048358068,1.6441214636348664,-0.0001961951358925871,0.35,3.1282966162558404e-07
CINF,-0.3609056224519058,0.020286807592801027,-0.38119243004470676,0.7511399029524409,-0.00012025711853775239,0.18,0.0005082383604363512
CL,0.12221528473974086,0.4162906521895554,-0.2940753674498147,-0.16115546027540997,0.002263264436328632,0.01,0.5008404654519127
CLX,0.22957759842090386,0.329375583896081,-0.09979798547517697,0.2524730588489928,0.0016753067677478617,0.02,0.22200640611276845
CMA,-0.22108123272138336,-0.5908144293352051,0.3697331966138215,1.4817187672030334,-0.0035927156773606786,0.43,4.925236873662627e-09
CMCSA,0.06383126173814754,-0.10546522196922056,0.16929648370736827,1.0626142735144917,-0.0008837641040468374,0.22,9.136396073383594e-05
CME,-0.22338450375135566,0.09045141293117451,-0.31383591668253,-0.228191742104135,0.0005504398820138458,0.02,0.2959579733754132
CMG,0.2927370732441199,0.5427545039084465,-0.25001743066432647,0.4979099423247447,0.0027357473073287703,0.07,0.035072195822485434
CMI,0.3431484921493313,-0.547717578807406,0.8908660709567372,1.464116749441231,-0.00335813033557211,0.5,8.706317777392828e-11
CMS,-0.051078172037196445,0.3813979601592695,-0.4324761321964662,-0.16780008296661605,0.0020796833760285066,0.02,0.2560351080323979
CNC,0.02463106831045886,0.2279561032033094,-0.20332503489285056,1.294138406242376,0.000819425993525102,0.16,0.0012725044055306072
CNP,-0.08608312277927332,0.02800818370511877,-0.1140913064843921,0.4349922003519631,1.6846809924521867e-05,0.05,0.08848441883191831
COF,-0.18328229328643353,-0.05549386082738489,-0.12778843245904836,1.3697143190280265,-0.0007112434612770644,0.43,5.247671217822299e-09
COG,0.12176372942894487,-0.7109859654495357,0.8327496948784795,1.3704066102387007,-0.0041981138820827634,0.14,0.002778654639183101
COO,-0.043594160046378505,0.37141005948626604,-0.4150042195326447,0.6660637948160089,0.0017732624053178384,0.19,0.0003666509637464372
COP,-0.5163532587911299,-0.10547027749342903,-0.41088298129770096,0.8395219455975929,-0.0008160246440531584,0.1,0.009610651527190596
COST,0.15939973589218948,0.09487089467667788,0.06452884121551164,0.47963356193005335,0.0003589393027729185,0.13,0.004248508813915558
CPB,0.028873891141788302,0.024963528939109376,0.003910362202678853,0.03777222756168521,0.00012131106609155969,0.0,0.8541847528554104
CPRT,0.1190368932417023,0.4502178217459382,-0.33118092850423597,0.7045033626421819,0.0021807762570384605,0.18,0.00044258986140601565
CRM,0.25748261102779235,0.35006912465964846,-0.09258651363185626,0.7937222239320944,0.0016209693699327935,0.16,0.001294851942864062
CSCO,-0.11164505713301275,-0.20942724820439945,0.09778219107138666,1.5412524064600064,-0.001582144350287874,0.46,9.007009882282673e-10
CSX,0.12230483899179223,0.1251778167393666,-0.002872977747574279,1.1340830986628114,0.0003213512554933562,0.41,1.3269299532000858e-08
CTAS,0.15704809972073264,0.353175603171671,-0.19612750345093843,0.8611112987543835,0.0016170231391324538,0.3,3.6473107574161475e-06
CTLT,0.5451194946413925,0.46518268385401534,0.07993681078737706,0.4609745926402612,0.002334350696147836,0.05,0.08892724451772506
CTSH,0.11390412634570167,0.046850693063486715,0.06705343328221487,1.078962374838213,-7.853895311343395e-05,0.18,0.00046696081604331754
CTVA,0.13317435153701496,0.33428609938409715,-0.20111174784708213,1.6093480573347492,0.0012892632424570398,0.27,1.382166650319346e-05
CTXS,-0.033182519898451446,0.15486511207744946,-0.1880476319759009,0.48611003194438895,0.0006760901929693502,0.06,0.053346503512878486
CVS,-0.010925991671972387,-0.31924847373972026,0.3083224820677476,1.160370527329574,-0.002050603423490783,0.3,3.5133578816742836e-06
CVX,-0.2879831185323294,-0.4612011161408691,0.1732179976085394,1.1014652668781533,-0.002787777654451939,0.37,1.027812748657387e-07
CXO,-0.4760619073882437,0.011250155420857104,-0.48731206280910094,1.850111353581974,-0.0005021471258217808,0.24,5.509158304551917e-05
D,-0.033689544685358896,0.15913285653953982,-0.1928224012248985,0.22581518791378397,0.0007778579196686263,0.03,0.1469268663477468
DAL,-0.4729819069732506,-0.20947033531809434,-0.2635115716551568,1.5816897151661555,-0.001594656742335271,0.46,8.339856908405788e-10
DD,0.14146712840328357,-0.9858730683199359,1.127340196723219,1.5318017091943856,-0.005709304571937853,0.25,2.8118516200921323e-05
DE,0.4230742830462795,-0.4459117245880053,0.8689860076342851,1.488404581037865,-0.002823987487138889,0.4,3.0441598751672456e-08
DFS,0.013800614173246298,-0.6637547955831478,0.6775554097563934,1.7637238118070364,-0.004066357980725966,0.33,7.741325996312859e-07
DG,0.2669235090503399,-0.01832248890288568,0.28524599795322564,0.458266605486744,-0.00023666275309460112,0.08,0.027018021573479545
DGX,0.06845219114061063,0.2032146011938139,-0.13476241005320325,0.2720529327950952,0.0009982901436216213,0.06,0.060084975061943324
DHI,0.16895415938999658,0.4170909332194565,-0.2481367738294601,0.0918167779869406,0.0021906786010357825,0.0,0.743548219448946
DHR,0.3589053338048078,0.21951699231853203,0.1393883414862758,1.0064709586152054,0.0008619187447883686,0.31,1.958513339027719e-06
DIS,-0.021026322807903064,-0.24919725886403526,0.22817093605613226,0.9578326117876244,-0.0016164678195578505,0.26,2.0999741632060746e-05
DISCA,-0.27637263569675374,-0.06944791042677692,-0.20692472526997663,0.7754205703724119,-0.0006049449249782293,0.12,0.006250773157132039
DISCK,-0.3285806609708759,-0.012384434166911205,-0.31619622680396486,0.7122559581437693,-0.0002822289627176958,0.12,0.006330798386089931
DISH,-0.2683945022182983,0.3135351192120538,-0.5819296214303515,0.5186369767861045,0.0015101992332909858,0.04,0.09825332362700712
DLR,0.088413792218069,0.24290793328040872,-0.15449414106233977,0.4230469400722746,0.0011635590671830735,0.04,0.11372414446456168
DLTR,0.031670552850965976,-0.5828068620868905,0.6144774149378563,0.43165502435774794,-0.0032311556931263214,0.01,0.4115919900689462
DOV,0.04200507971339372,-0.057765708606806195,0.09977078832020003,1.4065309428924966,-0.0007345111468522441,0.57,9.552790739256725e-13
DOW,0.08867455181146466,-0.7864586119627529,0.8751331637742178,1.9297223988267627,-0.004769461456075271,0.41,1.5363931280075552e-08
DPZ,0.27105178442228534,0.07701274394882358,0.19403904047346188,0.45462328777240546,0.00027154624064810545,0.04,0.09553778030504859
DRE,0.05008038836069463,0.2087276679165836,-0.15864727955588903,0.27877372041604503,0.0010255734654226894,0.04,0.1093932337019946
DRI,-0.11481474425148175,0.11645258498348587,-0.23126732923496723,0.4838366254806813,0.000472458808511599,0.05,0.08712105870607076
DTE,-0.025457508962436926,0.1817687860955393,-0.2072262950579762,0.2949973537420159,0.0008772470796909962,0.09,0.0177202691595892
DUK,-0.06560391384813613,0.37596376794622666,-0.4415676817943627,0.14983809219336788,0.0019542925745916935,0.02,0.29706398919869886
DVA,0.25706854985861405,0.4192464143887684,-0.16217786453015431,0.7610639039544402,0.001998853942741657,0.11,0.008050144399178043
DVN,-0.6568424080754167,-0.3445150021761537,-0.3123274058992625,1.9578709439674586,-0.0024272479542927043,0.24,4.368230615370799e-05
DXC,-0.37408348176500095,-1.0043090106200783,0.6302255288550773,1.8208784491019319,-0.005895177819280289,0.29,4.406441808720076e-06
DXCM,0.14264362413527376,1.0264931060877394,-0.8838494819524654,-0.12212973886448736,0.005497167747210186,0.0,0.7988092802439632
EA,0.09565795876140726,0.1683401598205313,-0.07268220105912397,0.9876570122744492,0.0005954164602788763,0.32,1.2703362279270087e-06
EBAY,0.2599222056026611,-0.12313090970056279,0.38305311530322345,1.6518995611672747,-0.0011567313663325995,0.31,2.1772506906404043e-06
ECL,-0.008979402773346301,0.13025928959509772,-0.13923869236844413,0.7797133815906571,0.0004560234345847892,0.24,4.4824031877738374e-05
ED,-0.13982053390997518,0.18891141376345325,-0.32873194767342834,0.07108068263953075,0.000983256532973589,0.0,0.6281560489518567
EFX,0.019635407386448197,0.2845418654820782,-0.2649064580956303,0.9804917681980511,0.0012156871482674086,0.25,3.204107323436529e-05
EIX,-0.1792990196289601,0.2876296889505406,-0.4669287085795009,-0.11490277079230518,0.0015648479297993203,0.0,0.656180978666157
EL,0.17983946264463047,0.08514964003480485,0.09468982260982559,1.2960188702907167,5.924593859523396e-05,0.36,2.515431344535528e-07
EMN,0.25064590869117076,-0.515141303784377,0.7657872124755479,1.3964219649424994,-0.0031642893621339117,0.26,1.7140680231673867e-05
EMR,0.05351038768494211,-0.37593491780839755,0.42944530549334003,1.6460624309693181,-0.0024996604550143963,0.59,2.1118559785966675e-13
EOG,-0.5939391198204986,-0.20152441912862915,-0.3924147006918698,1.8849623661990218,-0.001644513094021383,0.3,4.225911117477659e-06
EQIX,0.16711984855626394,0.36487158194822517,-0.19775173339196128,0.5486038040284807,0.001774162824430398,0.09,0.01813229167625222
EQR,-0.34980176705927857,-0.09990385737199019,-0.24989790968728864,0.32663777798836646,-0.0006306227326852509,0.05,0.0805445144566699
ES,-0.010768291214988679,0.44398056027030325,-0.4547488514852918,-0.0012209272799069346,0.0023619695927578734,0.0,0.9943556070755468
ESS,-0.23249127566787386,-0.04208340849414602,-0.19040786717372798,0.35657500636389816,-0.00033216086262957017,0.05,0.06775294616487969
ETN,0.09277080845143981,0.11666680473185091,-0.02389599628041115,1.4185568423617314,0.00018966839308750638,0.55,4.494698403218587e-12
ETR,-0.1980276644336536,0.39861996587974957,-0.596647630313403,-0.035904146260544174,0.002131225182838155,0.0,0.8197322080022772
ETSY,0.8539911262036415,0.4272984548692677,0.42669267133437344,1.483346257860692,0.0018222840222671833,0.27,1.2220298323597996e-05
EVRG,-0.2578689429809513,0.4383109845118899,-0.6961799274928413,-0.2327769588074274,0.0024021495539643936,0.03,0.20077496445895965
EW,0.04174117286268415,-0.3550069909053083,0.3967481637679924,1.2145476445316183,-0.0022572651007883755,0.23,8.427519368121567e-05
EXC,-0.14535211866903142,0.227573534132962,-0.3729256528019933,0.32955944198455434,0.0011103908035872397,0.06,0.048133868239554824
EXPD,0.15766998799476895,-0.10675471102917167,0.26442469902394045,0.5276974811007888,-0.0007281371818255106,0.06,0.04697532456035984
EXPE,0.01279925948821603,0.4919077155286915,-0.47910845604047564,1.2351442120191458,0.002241343961732519,0.14,0.0024260636554175657
EXR,0.09100411875442924,0.041089514074724054,0.04991460467970511,-0.1783544575940783,0.0002727380556519506,0.01,0.5227871331457599
F,0.0653194616537843,-0.42819415028195384,0.49351361193573795,0.49984769281199803,-0.0024294618032567722,0.03,0.15130416822038992
FANG,-0.8585860072747806,-0.18831938476690754,-0.6702666225078728,1.4581482253049496,-0.001444624819855579,0.17,0.0006607588746660281
FAST,0.21617227554357132,-0.12247612607437244,0.33864840161794363,1.4955727822937084,-0.0011057627745937862,0.47,6.316751556430135e-10
FB,0.2416841308384159,0.1251586110596327,0.1165255197787832,1.0658853254253782,0.00034196479989345,0.18,0.0005282771262203527
FBHS,0.14719403772871864,0.14143244095760943,0.005761596771109332,1.4343673854337033,0.000316597902470919,0.41,1.3491181854247815e-08
FCX,0.5095023728558572,-0.2438391965726401,0.7533415694284964,2.598133622022217,-0.0020862240404480527,0.39,4.996618450671688e-08
FDX,0.5231975940961657,-0.2435662710473851,0.7667638651435513,1.5854672218096264,-0.0017771655550616414,0.2,0.0002184386635756089
FE,-0.5693950139952788,0.2715131263659008,-0.8409081403611796,0.19400482647262302,0.001385288002879135,0.03,0.15407706533424534
FFIV,0.20618362713212068,-0.4622620401502453,0.668445667282366,0.6490523674884939,-0.002655996278715662,0.07,0.04047613894781973
FIS,-0.08329034304593907,0.2595536510390335,-0.34284399408497257,0.9553547474863193,0.001090406715751272,0.27,1.3281759941823368e-05
FISV,-0.12667518347283124,0.10295902355867136,-0.2296342070315025,0.7468487184956089,0.00032079219790303486,0.21,0.00015765288334728758
FITB,-0.1547694081581943,-0.3012865113966929,0.1465171032384986,1.3832683264511951,-0.002022768331767493,0.45,1.7981689072014231e-09
FLIR,-0.4374593946768157,-0.07099379765787284,-0.3664655970189428,1.5143518490103416,-0.0008376249167870583,0.45,1.3667916800390485e-09
FLS,-0.3361209508130645,-0.5483752907182751,0.21225433990521064,1.815396205195957,-0.0034683331759784723,0.51,6.197259220535908e-11
FLT,-0.2099489328340205,0.03162597342778685,-0.24157490626180753,1.059656293154057,-0.00015365710409126252,0.17,0.0008225654766250644
FMC,0.019996030778359323,0.08680049185491237,-0.06680446107655305,1.0207854449337288,0.00015163175536424083,0.22,9.803077236291989e-05
FOX,-0.3589995982160117,0.1898158326515117,-0.5488154308675234,0.7535567636647889,0.0007807588710331553,0.12,0.005036011224234027
FOXA,-0.3561491408795061,0.18115570327975866,-0.5373048441592649,0.6935293706684817,0.0007529282270561412,0.1,0.012259919217935613
FRC,0.13313696355336724,0.01600591206844689,0.11713105148492028,1.1137734223662605,-0.00025318111370605315,0.32,1.2615188798776105e-06
FRT,-0.3508367508402568,-0.20816612995458253,-0.14267062088567412,0.3438572372318794,-0.0012117164541952845,0.05,0.0936905155373548
FTI,-0.8556661622423603,-0.6822688516382098,-0.1733973106041493,1.0133847368765514,-0.003936914591625898,0.08,0.02466827066206109
FTNT,-0.02790244681267498,0.24488278192554602,-0.272785228738221,1.251082535726401,0.0009225401362035644,0.31,2.0904189311168004e-06
FTV,0.09813593701678605,0.025210154250835858,0.07292578276595024,0.9911668480649872,-0.00016697950155640564,0.34,5.147433670090288e-07
GD,-0.21042663518114768,-0.193383757055951,-0.01704287812519683,0.9902646200262365,-0.0013294390122536367,0.37,1.0141843961402806e-07
GE,-0.3098665712262645,-0.0012813606760051256,-0.30858521055025956,1.451584817242593,-0.0004477480172883431,0.17,0.0008712128106685892
GILD,-0.1057730147251475,-0.008020870381490346,-0.09775214434365687,0.5933094634448435,-0.00022288742283161443,0.07,0.033389841485289826
GIS,0.1355719348877633,-0.021415018406902988,0.15698695329466641,0.3201041171572783,-0.00021114424869784877,0.03,0.15674727600606178
GL,-0.18342552668006284,0.14633338791607503,-0.3297589145961378,0.9455835405559255,0.000491139367784408,0.49,1.400341109931478e-10
GLW,0.24801069779938922,-0.43704937723281634,0.6850600750322051,1.5651348424371987,-0.002800154865835619,0.39,4.484666316669233e-08
GM,0.16513579657189137,-0.42354838557805896,0.5886841821499501,1.3911487037074919,-0.0026754911869867554,0.37,1.1357342559918497e-07
GOOG,0.15183586021983864,0.2254940453845675,-0.0736581851647289,0.9381115113425715,0.0009144763924955337,0.27,1.068882296108154e-05
GOOGL,0.15034641647014446,0.2240555452274651,-0.07370912875732079,0.9426830265057552,0.0009054361560439525,0.28,9.226970688220571e-06
GPC,-0.0032261314325934196,-0.3955988724832002,0.392372741050607,1.2604874654502782,-0.0024871340085799495,0.43,6.502316788582816e-09
GPN,-0.09400169087129928,0.2412330882096992,-0.3352347790809985,1.008585032872057,0.0009767877236024909,0.37,1.5183614138233889e-07
GPS,0.2504732721214733,-0.41429577266124185,0.6647690447827153,1.706031086084488,-0.0027219235870804804,0.21,0.00017144581927778355
