Date,Symbol,Name,Close_Change,Close_LogChange,Close_LogChangeCumulative,Close,Adj Close,High,Low,Open,Volume,USA Covid Confirmed Cases,USA Covid Cases LogChange,USA Covid Cases LogChangeCumulative,USA Covid Deaths,USA Covid Deaths LogChange,USA Covid Deaths LogChangeCumulative,World Covid Confirmed Cases,World Covid Cases LogChange,World Covid Cases LogChangeCumulative,World Covid Deaths,World Covid Deaths LogChange,World Covid Deaths LogChangeCumulative,USA_StringencyIndex,USA_StringencyIndex_LogChange,USA_StringencyIndex_LogChangeCumulative,USA_StringencyLegacyIndex,USA_StringencyLegacyIndex_LogChange,USA_StringencyLegacyIndex_LogChangeCumulative,USA_GovernmentResponseIndex,USA_GovernmentResponseIndex_LogChange,USA_GovernmentResponseIndex_LogChangeCumulative,USA_ContainmentHealthIndex,USA_ContainmentHealthIndex_LogChange,USA_ContainmentHealthIndex_LogChangeCumulative,USA_EconomicSupportIndex,USA_EconomicSupportIndex_LogChange,USA_EconomicSupportIndex_LogChangeCumulative,News title--source
2019-11-15,XLB,Materials,0.0,0.0,0.0,60.36000061035156,59.026859283447266,60.810001373291016,60.20000076293945,60.709999084472656,3410900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-15,XLC,Communication Services,0.0,0.0,0.0,51.9900016784668,51.51805114746094,52.0099983215332,51.66999816894531,51.84000015258789,2798500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-15,XLE,Energy,0.0,0.0,0.0,60.08000183105469,54.88886260986328,60.310001373291016,59.79999923706055,59.869998931884766,9181800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-15,XLF,Financials,0.0,0.0,0.0,29.75,29.004867553710938,29.799999237060547,29.65999984741211,29.770000457763672,30097000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-15,XLI,Industrials,0.0,0.0,0.0,82.30999755859375,80.599365234375,82.4800033569336,82.0999984741211,82.16999816894531,6150700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-15,XLK,Technology,0.0,0.0,0.0,87.23999786376953,86.0761947631836,87.23999786376953,86.87999725341797,87.1500015258789,7062400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-15,XLP,Consumer Staples,0.0,0.0,0.0,61.33000183105469,59.662349700927734,61.459999084472656,61.11000061035156,61.400001525878906,7221400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-15,XLRE,Real Estate,0.0,0.0,0.0,38.54999923706055,37.33747863769531,38.560001373291016,38.27000045776367,38.38999938964844,2615000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-15,XLU,Utilities,0.0,0.0,0.0,62.849998474121094,60.71142578125,62.880001068115234,62.4900016784668,62.68000030517578,9965800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-15,XLV,Health Care,0.0,0.0,0.0,97.45999908447266,95.18135833740234,97.62999725341797,95.66999816894531,95.76000213623047,11337700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-15,XLY,Consumer Discretionary,0.0,0.0,0.0,121.37000274658203,119.85187530517578,121.83999633789062,121.0999984741211,121.7300033569336,2120000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-18,XLB,Materials,-0.0024851147177288313,-0.0024882077407157865,-0.002488207770511508,60.209999084472656,58.88016891479492,60.38999938964844,60.040000915527344,60.11000061035156,2916600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-18,XLC,Communication Services,0.00346213665449957,0.0034561572564135723,0.0034561571665108204,52.16999816894531,51.6964111328125,52.2599983215332,51.630001068115234,51.90999984741211,1833000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-18,XLE,Energy,-0.012150521549356252,-0.012224942586982479,-0.012224942445755005,59.349998474121094,54.2219352722168,59.77000045776367,59.099998474121094,59.70000076293945,12754100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-18,XLF,Financials,0.0020167887711726173,0.0020147577829563446,0.0020147578325122595,29.809999465942383,29.063365936279297,29.81999969482422,29.65999984741211,29.75,25440500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
