Symbol,Name,ReturnSum,Rank
XLK,Technology,0.2944153207281488,1
XLY,Consumer Discretionary,0.21543467346054967,2
XLC,Communication Services,0.18880012941372115,3
XLB,Materials,0.1283077474217862,4
XLV,Health Care,0.09489107903209515,5
XLP,Consumer Staples,0.06943719343689736,6
XLI,Industrials,0.04886600693134824,7
XLU,Utilities,0.029637375409947708,8
XLRE,Real Estate,-0.00981577779748477,9
XLF,Financials,-0.13121643709018826,10
XLE,Energy,-0.5900142193568172,11
